"out_filename","filename","filepath","n_measurements","log_interval","date_min","date_max","date_lab","temp_min","temp_max","hobo","ibutton","formatted","datetime","tz","year","stand","plot","calibration","snow_appearance_date","snow_disappearance_date","snow_cover_duration","minimum_soil_temp","flag_sensor_fail","flag_temp_high","flag_temp_low","flag_high_calib","flag_no_snow","flag_short_record","flagged"
"MW_soil_GB-1_2014-10-2015-05.csv","GB-1","/Users/meerasethi/MeadoWatch/data/Microclimate/2015 GB/GB-1.csv",2862,2,"2014-10-01 19:00:00","2015-05-28 05:00:00","2014-10-2015-05",-1.684,12.207,TRUE,FALSE,FALSE,FALSE,"PDT",2015,"soil","GB-1",0.908337037037037,"2014-11-13","2015-04-26",119,-1.684,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"MW_soil_GB-1_2016-10-2017-06.csv","GB-1","/Users/meerasethi/MeadoWatch/data/Microclimate/2017 GB/GB-1.csv",3026,2,"2016-10-17 13:00:00","2017-06-26 15:57:40","2016-10-2017-06",0.343,25.513,TRUE,FALSE,FALSE,FALSE,"PDT",2017,"soil","GB-1",0,"2016-11-17","2017-06-01",197,0.343,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"MW_soil_GB-1_2017-10-2018-06.csv","GB-1","/Users/meerasethi/MeadoWatch/data/Microclimate/2018 GB/GB-1.csv",3250,2,"2017-10-01 13:00:00","2018-06-29 08:47:22","2017-10-2018-06",0.01,25.028,TRUE,FALSE,FALSE,FALSE,"PDT",2018,"soil","GB-1",0,"2017-10-08","2018-05-12",204,0.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"MW_soil_GB-1_2018-09-2019-06.csv","GB-1","/Users/meerasethi/MeadoWatch/data/Microclimate/2019 GB/GB-1.csv",3217,2,"2018-09-26 13:00:00","2019-06-21 14:59:20","2018-09-2019-06",-0.549,28.953,TRUE,FALSE,FALSE,FALSE,"PDT",2019,"soil","GB-1",0,"2018-11-05","2019-05-22",197,-0.549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"MW_soil_GB-10_2014-10-2015-05.csv","GB-10","/Users/meerasethi/MeadoWatch/data/Microclimate/2015 GB/GB-10.csv",2864,2,"2014-10-01 17:00:00","2015-05-28 07:00:00","2014-10-2015-05",-2.03,11.041,TRUE,FALSE,FALSE,FALSE,"PDT",2015,"soil","GB-10",-0.00117546296296296,"2014-10-26","2015-05-05",177,-2.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"MW_soil_GB-10_2016-10-2017-07.csv","GB-10","/Users/meerasethi/MeadoWatch/data/Microclimate/2017 GB/GB-10.csv",3099,2,"2016-10-17 13:00:00","2017-07-02 17:32:16","2016-10-2017-07",0.121,28.853,TRUE,FALSE,FALSE,FALSE,"PDT",2017,"soil","GB-10",0,"2016-10-19","2017-06-26",229,0.121,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"MW_soil_GB-10_2017-10-2018-06.csv","GB-10","/Users/meerasethi/MeadoWatch/data/Microclimate/2018 GB/GB-10.csv",3238,2,"2017-10-02 13:00:00","2018-06-29 08:36:09","2017-10-2018-06",-0.549,25.222,TRUE,FALSE,FALSE,FALSE,"PDT",2018,"soil","GB-10",0,"2017-10-08","2018-06-07",231,-0.549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"MW_soil_GB-11_2014-10-2015-05.csv","GB-11","/Users/meerasethi/MeadoWatch/data/Microclimate/2015 GB/GB-11.csv",2864,2,"2014-10-01 17:00:00","2015-05-28 07:00:00","2014-10-2015-05",-0.549,20.234,TRUE,FALSE,FALSE,FALSE,"PDT",2015,"soil","GB-11",0.293092735042735,"2014-10-24","2015-05-11",194,-0.549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"MW_soil_GB-11_2016-10-2017-07.csv","GB-11","/Users/meerasethi/MeadoWatch/data/Microclimate/2017 GB/GB-11.csv",3099,2,"2016-10-17 13:00:00","2017-07-02 17:36:45","2016-10-2017-07",0.232,28.555,TRUE,FALSE,FALSE,FALSE,"PDT",2017,"soil","GB-11",0,"2016-10-17","2017-06-24",247,0.232,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"MW_soil_GB-11_2017-10-2018-06.csv","GB-11","/Users/meerasethi/MeadoWatch/data/Microclimate/2018 GB/GB-11.csv",3238,2,"2017-10-02 13:00:00","2018-06-29 08:40:52","2017-10-2018-06",-1.001,27.665,TRUE,FALSE,FALSE,FALSE,"PDT",2018,"soil","GB-11",0,"2017-10-12","2018-06-10",230,-1.001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
