"Plot Title: MW-GlacierBasin-6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10189828, SEN S/N: 10189828)","Coupler Attached (LGR S/N: 10189828)","Host Connected (LGR S/N: 10189828)","Coupler Detached (LGR S/N: 10189828)","Stopped (LGR S/N: 10189828)","End Of File (LGR S/N: 10189828)"
1,10/01/15 01:00:00 AM,7.280,,,,,
2,10/01/15 03:00:00 AM,6.877,,,,,
3,10/01/15 05:00:00 AM,6.674,,,,,
4,10/01/15 07:00:00 AM,6.370,,,,,
5,10/01/15 09:00:00 AM,7.280,,,,,
6,10/01/15 11:00:00 AM,8.779,,,,,
7,10/01/15 01:00:00 PM,23.484,,,,,
8,10/01/15 03:00:00 PM,12.883,,,,,
9,10/01/15 05:00:00 PM,11.139,,,,,
10,10/01/15 07:00:00 PM,9.571,,,,,
11,10/01/15 09:00:00 PM,8.481,,,,,
12,10/01/15 11:00:00 PM,7.782,,,,,
13,10/02/15 01:00:00 AM,7.280,,,,,
14,10/02/15 03:00:00 AM,7.079,,,,,
15,10/02/15 05:00:00 AM,7.079,,,,,
16,10/02/15 07:00:00 AM,6.978,,,,,
17,10/02/15 09:00:00 AM,7.682,,,,,
18,10/02/15 11:00:00 AM,9.077,,,,,
19,10/02/15 01:00:00 PM,17.475,,,,,
20,10/02/15 03:00:00 PM,10.748,,,,,
21,10/02/15 05:00:00 PM,9.077,,,,,
22,10/02/15 07:00:00 PM,7.882,,,,,
23,10/02/15 09:00:00 PM,6.978,,,,,
24,10/02/15 11:00:00 PM,6.775,,,,,
25,10/03/15 01:00:00 AM,6.370,,,,,
26,10/03/15 03:00:00 AM,5.962,,,,,
27,10/03/15 05:00:00 AM,5.757,,,,,
28,10/03/15 07:00:00 AM,5.552,,,,,
29,10/03/15 09:00:00 AM,5.962,,,,,
30,10/03/15 11:00:00 AM,7.582,,,,,
31,10/03/15 01:00:00 PM,22.046,,,,,
32,10/03/15 03:00:00 PM,10.748,,,,,
33,10/03/15 05:00:00 PM,9.275,,,,,
34,10/03/15 07:00:00 PM,7.582,,,,,
35,10/03/15 09:00:00 PM,6.877,,,,,
36,10/03/15 11:00:00 PM,6.573,,,,,
37,10/04/15 01:00:00 AM,6.471,,,,,
38,10/04/15 03:00:00 AM,6.166,,,,,
